date_quebec,plateforme,publication_portail,utm_campaign,utm_content,adresse,image,premiere_ligne
2026-09-21 10h01,facebook,294,,,https://veille.la/plan-de-cours,https://laveille.ai/images/blog/ia-en-classe-politique-de-cours-rapport-mit-quebec.jpg,"Trois textes officiels au Québec sur l’IA en enseignement, et aucun ne dit quoi écrire au plan de cours."
2026-09-21 10h51,linkedin,296,,,(code QR du carrousel),https://laveille.ai/carrousels/plan-de-cours.pdf,"Le cadre québécois sur l’IA en enseignement supérieur le dit lui-même : il n’est pas un guide pratique."
2026-09-25 08h01,facebook,345,,,https://laveille.ai/outils/anonymiseur,https://laveille.ai/images/social/anonymiseur-caviardage-surligne-2026-09.jpg,"Tu as caché les noms avant de coller ton texte dans une IA. Et la ville? Et le numéro de dossier?"
2026-10-01 09h00,facebook,346,ia-emplois-2030-partie-2-quels-metiers-exposes,20261001,https://laveille.ai/blog/ia-emplois-2030-partie-2-quels-metiers-exposes?utm_source=facebook&utm_medium=social&utm_campaign=ia-emplois-2030-partie-2-quels-metiers-exposes&utm_content=20261001,https://laveille.ai/images/social/ia-emplois-2030-partie2-avalanche-paperasse-2026-09.jpg,"Commis à la comptabilité : 0,64 sur l’échelle de l’OIT à l’IA. Comptable, dans le même bureau : 0,51."
2026-10-01 09h00,linkedin,347,ia-emplois-2030-partie-2-quels-metiers-exposes,20261001,(code QR du carrousel),https://laveille.ai/carrousels/ia-emplois-2030-partie2-2026-10-01.pdf,"L’OIT a évalué 427 professions sur leur exposition à l’IA générative."
2026-10-08 09h00,facebook,348,ia-emplois-2030-partie-3-ce-qui-reste-a-prouver,20261008,https://laveille.ai/blog/ia-emplois-2030-partie-3-ce-qui-reste-a-prouver?utm_source=facebook&utm_medium=social&utm_campaign=ia-emplois-2030-partie-3-ce-qui-reste-a-prouver&utm_content=20261008,https://laveille.ai/images/social/ia-emplois-2030-partie3-lanterne-brouillard-2026-09.jpg,"L’économiste Michael Handel n’a trouvé aucune vague de licenciements liée à l’IA jusqu’en 2023."
2026-10-08 09h00,linkedin,349,ia-emplois-2030-partie-3-ce-qui-reste-a-prouver,20261008,(code QR du carrousel),https://laveille.ai/carrousels/ia-emplois-2030-partie3-2026-10-08.pdf,"L’économiste Michael Handel a étudié l’IA et l’emploi jusqu’en 2023. Sa mise en garde change tout."
2026-09-28 09h00,facebook,350,decouverte-anthropic-mammoth-enzyme,20260928,https://laveille.ai/actualites/decouverte-anthropic-et-un-cofondateur-de-mammoth-biosciences-sopposent-sur-un-systeme-enzymatique-trouve-par-claude?utm_source=facebook&utm_medium=social&utm_campaign=decouverte-anthropic-mammoth-enzyme&utm_content=20260928,https://laveille.ai/images/social/decouverte-anthropic-mammoth-enzyme-caricature-2026-09.jpg,"950 agents Claude ont scruté plus de 200 000 enzymes en 21 heures, affirme Anthropic."
2026-09-28 09h00,linkedin,351,decouverte-anthropic-mammoth-enzyme,20260928,(code QR du carrousel),https://laveille.ai/carrousels/decouverte-anthropic-mammoth-enzyme.pdf,"950 agents Claude ont scruté plus de 200 000 transcriptases inverses en 21 heures, affirme Anthropic."
2026-09-30 09h00,facebook,352,meta-faille-cles-muse,20260930,https://laveille.ai/actualites/meta-corrige-en-urgence-une-faille-qui-livrait-les-cles-de-son-agent-ia-muse-a-un-programme-local?utm_source=facebook&utm_medium=social&utm_campaign=meta-faille-cles-muse&utm_content=20260930,https://laveille.ai/images/social/meta-faille-cles-muse-caricature-2026-09.jpg,"Patrick Wardle a trouvé une faille qui laisse piloter plus de 50 commandes de Muse, l'agent IA de Meta."
